2024-07-06 11:59:59.738012;280;H=65;T=30;Hs=57.10723;sp=20;sf=12;rx_timestamp=4202004109; rssi=-121; snr=-6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:03:55.750054;291;H=69;T=29;Hs=57.03598;sp=20;sf=7;rx_timestamp=142701607; rssi=-122; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:04:18.742465;292;H=69;T=29;Hs=57.03598;sp=20;sf=12;rx_timestamp=165742573; rssi=-128; snr=-14.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:05:22.735914;295;H=68;T=29;Hs=57.00036;sp=20;sf=7;rx_timestamp=228233525; rssi=-123; snr=-9.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:07:10.216637;300;H=67;T=29;Hs=56.71535;sp=20;sf=12;rx_timestamp=336814424; rssi=-121; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:08:12.735885;303;H=67;T=29;Hs=56.96473;sp=20;sf=7;rx_timestamp=399309363; rssi=-120; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:21:10.302177;339;H=71;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1177563751; rssi=-118; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:22:18.870482;342;H=69;T=29;Hs=57.53473;sp=2;sf=12;rx_timestamp=1246003645; rssi=-131; snr=-15.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:22:38.214504;343;H=69;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1265196690; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:23:01.758534;344;H=69;T=29;Hs=57.53473;sp=20;sf=12;rx_timestamp=1288239664; rssi=-113; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:24:03.753658;347;H=68;T=29;Hs=57.35661;sp=20;sf=7;rx_timestamp=1350735625; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:24:27.188079;348;H=68;T=29;Hs=57.35661;sp=20;sf=12;rx_timestamp=1373776591; rssi=-83; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:24:47.242698;349;H=71;T=29;Hs=57.14286;sp=2;sf=7;rx_timestamp=1394033547; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:25:10.194466;350;H=71;T=29;Hs=57.14286;sp=2;sf=12;rx_timestamp=1417074516; rssi=-104; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:25:29.685148;351;H=71;T=29;Hs=57.14286;sp=20;sf=7;rx_timestamp=1436267559; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
